id,name,popularity,preview_url,link,duration_ms,album_id,album_name,release_date,album_img_64,album_img_300,artist_id,artist_name,followers,genre,artist_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
7H6ev70Weq6DdpZyyTmUXk,Say My Name,76,https://p.scdn.co/mp3-preview/26cde6756e631b05cb8b83e99bec8eac00980073?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk,271333,283NWqNsCA9GwVHrJk59CG,The Writing's On The Wall,1999-07-27,https://i.scdn.co/image/ab67616d000048513718df75b57340c1947747e8,https://i.scdn.co/image/ab67616d00001e023718df75b57340c1947747e8,1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,4446841,dance pop,75,0.713,0.678,5,-3.525,0.102,0.273,0,0.149,0.734,138.009,1999
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,79,,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,233933,5gO2acKSOaJnP0Mcy8IpU6,The Better Life,2000,https://i.scdn.co/image/ab67616d000048512868c4713a3912fd476b42f1,https://i.scdn.co/image/ab67616d00001e022868c4713a3912fd476b42f1,2RTUTCvo6onsAnheUk3aL9,3 Doors Down,2980476,alternative metal,72,0.545,0.865,11,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,2000
3MjUtNVVq3C8Fn0MP3zhXa,Baby One More Time,77,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa,211066,3WNxdumkSMGMJRhEgK80qx,Baby One More Time (Digital Deluxe Version),1999-01-12,https://i.scdn.co/image/ab67616d000048518e49866860c25afffe2f1a02,https://i.scdn.co/image/ab67616d00001e028e49866860c25afffe2f1a02,26dSoYclwsYLMAKD3tpOr4,Britney Spears,8126187,dance pop,82,0.759,0.699,0,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,1999
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,78,https://p.scdn.co/mp3-preview/7fb86827422540ad01f65870375fef055412f034?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,211160,5PmgtkodFl2Om3hMXONDll,Oops!... I Did It Again,2000-05-16,https://i.scdn.co/image/ab67616d000048512aa20611c7fb964a74ab01a6,https://i.scdn.co/image/ab67616d00001e022aa20611c7fb964a74ab01a6,26dSoYclwsYLMAKD3tpOr4,Britney Spears,8126187,dance pop,82,0.751,0.834,1,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,2000
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),80,https://p.scdn.co/mp3-preview/dcddd0ebee02d9142b39d092c823f88201547b7a?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J,231400,5j1wrOAOm5KFd17pPiSvle,Mail on Sunday,2008-03-17,https://i.scdn.co/image/ab67616d00004851f9bd7a6c772ac496015be3f8,https://i.scdn.co/image/ab67616d00001e02f9bd7a6c772ac496015be3f8,0jnsk9HBra6NMjO2oANoPY,Flo Rida,7830306,dance pop,80,0.918,0.609,10,-5.64,0.0791,0.0928,0,0.139,0.304,128.008,2008
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),82,https://p.scdn.co/mp3-preview/8a5e4f8dce6b1a957e235185a4677841fcaafe90?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX,250373,1RM6MGv6bcl6NrAG8PGoZk,Confessions (Expanded Edition),2004-03-23,https://i.scdn.co/image/ab67616d00004851365b3fb800c19f7ff72602da,https://i.scdn.co/image/ab67616d00001e02365b3fb800c19f7ff72602da,23zg3TcAtWQy7J6upgbUnj,Usher,8258324,atl hip hop,83,0.894,0.791,2,-4.699,0.112,0.0183,0,0.0388,0.583,105.018,2004
4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,80,,https://open.spotify.com/track/4kLLWz7srcuLKA7Et40PQR,289133,1dgbFU08pXJXZhGPlybdMX,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,https://i.scdn.co/image/ab67616d000048510bd44f5ff9ecc99f7770acc5,https://i.scdn.co/image/ab67616d00001e020bd44f5ff9ecc99f7770acc5,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,5028597,dance pop,83,0.743,0.766,0,-6.375,0.0265,0.0873,0,0.509,0.61,127.96,2009
3oDFtOhcN08qeDPAK6MEQG,Boom Boom Pow,70,,https://open.spotify.com/track/3oDFtOhcN08qeDPAK6MEQG,251440,1dgbFU08pXJXZhGPlybdMX,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,https://i.scdn.co/image/ab67616d000048510bd44f5ff9ecc99f7770acc5,https://i.scdn.co/image/ab67616d00001e020bd44f5ff9ecc99f7770acc5,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,5028597,dance pop,83,0.867,0.857,9,-5.892,0.0663,0.13,0.00171,0.13,0.402,130.048,2009
3UhXPxLDFKCj1ZO6mmtV0a,Apologize,73,,https://open.spotify.com/track/3UhXPxLDFKCj1ZO6mmtV0a,208106,5KIGFE6IFlVQPA4Vsl15nV,Dreaming Out Loud,2007-11-20,https://i.scdn.co/image/ab67616d000048518d2a873567851166946387a0,https://i.scdn.co/image/ab67616d00001e028d2a873567851166946387a0,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,11048261,dance pop,83,0.593,0.74,8,-6.12,0.0339,0.363,2.22e-05,0.102,0.502,118.008,2007
1IAzD1muglOxOcPbUHs70R,Whatever You Like,75,https://p.scdn.co/mp3-preview/c82678be83d118b5d815dda0ecc00b5ad99e81e3?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/1IAzD1muglOxOcPbUHs70R,249533,5PfepkNWgRR2DI02Y8AawC,Paper Trail,2008-09-07,https://i.scdn.co/image/ab67616d00004851b6d4478c6f91f1cb2d326c78,https://i.scdn.co/image/ab67616d00001e02b6d4478c6f91f1cb2d326c78,4OBJLual30L7gRl5UkeRcT,T.I,3537062,atl hip hop,78,0.68,0.687,9,-6.162,0.0709,0.0161,0,0.261,0.467,150.053,2008
